"STRUCTURE_SMILES","LC50_mmol"
"OC1=C([N+](=O)[O-])C=CC([N+]([O-])=O)=C1",1.82E-02
"ClC1=C(C=CC(=C1)NC(=O)N(C)C)Cl",6.09E-02
"C1=CC(F)=CC=C1OC2=CC=C(F)C=C2",5.48E-03
"S=P(OC1=NC(=NC(=C1)C)C(C)C)(OCC)OCC",3.07E-02
"FC1=CC=C([N+](=O)[O-])C=C1",2.01E-01
"C(F)(F)(F)C1=CC(C#N)=CC=C1",2.79E-01
"NC1=CC=C(F)C=C1",1.52E-01
"C1(C=O)=C(Cl)C=CC=C1F",5.93E-02
"NC1=C(C(F)(F)F)C=C(F)C=C1",1.65E-01
"C1(C=O)=C(F)C=CC=C1",1.09E-02
"C1=CC=CC(=C1C(F)(F)F)C#N",2.47E-01
"C1(C=O)=CC(C(F)(F)F)=CC=C1",5.31E-03
"CNC1=CC=C(F)C=C1",3.07E-01
"CCCCCCC(=O)CCCCCC",
"O[C@H]1[C@@]([C@@](C)2C)(C)CC[C@H]2C1",4.10E-01
"O=C(CC1C2)C(C2)(C1(C)C)C",1.12E-01
"CC2(C)OC1(C)CCC2CC1",6.61E-01
"O=[C@](O)[C@@]1(C)[C@]([C@]([C@]([H])2CC3)(C)CCC1)([H])CCC2=C\C3=C(C)/C",4.93E-03
"N1=C(C2=CC=CC=C2)NC(C3=CC=CC=C3)=C1C4=CC=CC=C4",
"C1COC2=CC=CC=C12",6.80E-01
"O[C@H]1[C@H](CC2)C[C@H]2C1",2.03E+00
"C1C2C=CC1CC2",1.06E-01
"N1=C(C(=O)O)C=CC=C1C(=O)O",1.93E+00
"N1=CC(C=O)=CC=C1",1.53E-01
"CCCCC(=O)CCCC",2.18E-01
"C=C(C)C(C)=C",8.41E-02
"O=[C@](O)[C@@]3(C)[C@@]1([H])[C@@](CCC3)(C)[C@]2([H])C(C=[C@@]([C@@H](C)C)CC2)=CC1",7.87E-03
"C1=CC=CC=C1C2=CC(=O)C3=CC=CC=C3O2",1.57E-02
"OC1=C(C)C=C(C)C=C1C",9.54E-02
"C1(C#N)=CC=CC=C1C",3.82E-01
"C1(C=O)=C(C)C=CC=C1",4.40E-01
"C1(=CC=CC=C1)C(=O)[O-].[Na+]",3.36E+00
"OC1=C(C)C=C([N+]([O-])=O)C=C1[N+]([O-])=O",8.73E-03
"C1=CC=CC=C1CCCCC",1.15E-02
"O=C(OC(C)(C)C)C",2.82E+00
"ClC1=CC(Cl)=CC=C1",5.46E-02
"Cl\C=C\CCl",2.15E-03
"CCCCSCCCC",2.45E-02
"C1(O)=CC(OC)=CC=C1C(=O)C",4.18E-01
"C1(C=O)=C([N+]([O-])=O)C=CC=C1",9.53E-02
"O=CC1=CC=C([N+](=O)[O-])C=C1",6.68E-02
"CC(=O)C(C)C",1.00E+01
"OC1=C([N+]([O-])=O)C=CC=C1[N+]([O-])=O",2.16E-01
"BrC1=C(Br)C=CC=C1",1.72E-02
"C=CCNC1=CC=CC=C1",2.70E-01
"NC1=CC=C(CC)C=C1",6.02E-01
"CC(C)CC=O",3.77E-02
"CCCCC(=O)C",4.27E+00
"CC=CC=CC",2.43E-01
"CCCCCCCCCCCC(=O)C",1.81E-03
"C1=CC=CC=C1[Sn](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4",
"[H][C@]1(CC2)C(C)(C)CCC[C@@](C)1[C@@H](CC[C@@](O)(C)C=C)C2=C",4.13E-04
"CC[Sn](CC)(CC)CC",4.68E-05
"CC(C)C(C)N",3.26E+00
"CC(C)C(O)C(C)C",1.40E+00
"C1=CC=CC=C1N(C2=CC=CC=C2)C3=CC=CC=C3",
"C1=CC=CC=C1N(C2=CC=CC=C2)C=O",1.54E-01
"CCOC(=O)C(CC1=CC=CC=C1)C(=O)OCC",2.17E-02
"OC1=C(Br)C(Br)=C(Br)C(Br)=C1Br",1.90E-04
"OC1=C(I)C=C(I)C=C1I",2.56E-03
"C1(C=O)=C(OC)C=C(OC)C=C1",1.21E-01
"OC1=C(NC(=O)C)C=CC=C1",1.79E-01
"NC1=C(Cl)C=C(C)C=C1",2.54E-01
"NC1=C([N+]([O-])=O)C=C(OCC)C=C1",1.43E-01
"C1=CC([N+](=O)[O-])=CC=C1C(=O)OC",1.31E-01
"C1=CC([N+]([O-])=O)=CC=C1C(=O)N",8.01E-01
"C1=CC=CC=C1OC2=CC=C([N+](=O)[O-])C=C2",1.23E-02
"C1=CC=C(CS(=O)CC2=CC=CC=C2)C=C1",3.48E-01
"OC1=CC(NC(=O)C)=CC=C1",7.48E+00
"OCCN1CCOCC1",2.07E+01
"ClCC1=CC=C(CCl)C=C1",2.23E-04
"IC1=CC=C(I)C=C1",
"O1C(C)=CC=C1C",7.40E-01
"ClCCCCCCl",1.79E-01
"BrCCCCCCC",8.21E-03
"CCCSSCCC",1.70E-02
"N#CCCCCCCC#N",3.88E+00
"NC1=C(Cl)C(Cl)=C(Cl)C=C1",1.85E-02
"C1(C=O)=C(O)C=CC(Cl)=C1",4.92E-03
"OC1=CC=C(CCC)C=C1",8.08E-02
"C1(C=O)=C(F)C(F)=C(F)C(F)=C1F",5.61E-03
"C(Cl)(Cl)C(=O)N",1.88E+00
"CCCCCCC(C)N",4.02E-02
"CC(=O)CCCCCCCC",3.09E-02
"CCCCCOCCCCC",1.98E-02
"CC1=COC=N1",1.67E+01
"CC1=NC=CN1",3.48E+00
"O=C1C3CC2CC1CC(C3)C2",4.05E-01
"CCCCCCC1OC(=O)CC1",1.06E-01
"C1(C=O)=C(O)C=C(OC)C=C1OC",1.47E-02
"C1=C(Cl)C(Cl)=CC=C1NC(=O)CC",3.94E-02
"OC1=C(C=C(C=C1C(C)(C)C)C(C)(C)C)C(C)(C)C",2.32E-04
"C=CC(Cl)C(Cl)",6.54E-02
"C(=O)N(CCCC)CCCC",5.68E-01
"C(O)C#CC",1.44E-01
"CC(C)=CC=C(C)C",3.43E-02
"NC13CC(CC(C3)C2)CC2C1",1.65E-01
"N1=C(O)C(C#N)=C(C)C=C1C",1.06E+00
"NC1=C(F)C(F)=C(F)C(F)=C1F",2.03E-01
"ClC1=CC=C(SCSP(=S)(OCC)OCC)C=C1",7.00E-04
"C1=CC=CC=C1P(=O)(C2=CC=CC=C2)C3=CC=CC=C3",1.93E-01
"C1=CC(N(C)C)=CC=C1P(=O)(C2=CC=C(N(C)C)C=C2)C3=CC=C(N(C)C)C=C3",
"C=CC(=O)OCCO",4.14E-02
"C#CC(O)CCCCC",3.27E-03
"CCCCCCCC(=O)C",1.07E-01
"Cl[C@@H]1CCCC[C@H]1Cl",1.20E-01
"C1=CC=CC=C1OC2=CC=C(O)C=C2",2.66E-02
"C=C(C)C(=O)OCCO",1.74E+00
"C1(Br)=CSC=C1",3.80E-02
"O=CC1=C(Cl)C=C(Cl)C=C1",1.03E-02
"C1=CC=CC=C1SSC2=CC=CC=C2",5.04E-04
"C1(=CC=CC=C1)/C=C/C=C/C2=CC=CC=C2",
"O=C(OCC)C1=CC(N)=CC=C1.OS(C)(=O)=O",3.02E-01
"C(F)(F)(F)C(O)C(F)(F)(F)",1.45E+00
"C=CC(O)CC=C",3.88E-01
"C(O)CC#C",5.15E-01
"CC\C=C/CCO",3.80E+00
"CC/C=C/CCO",2.71E+00
"CN1C(C(=O)C)=CC=C1",1.28E+00
"N1=CC=C(C2=CC=CC=C2)C=C1",1.04E-01
"C1=CC=CC=C1S(=O)C2=CC=CC=C2",4.32E-01
"C1=CC=CC=C1C2=CC=C(C3=CC=CC=C3)O2",
"C=CC(=O)OCC(O)C",2.60E-02
"N1=C(N)C=CC(Br)=C1",1.02E+00
"CCOP(=O)(CC1=CC=CC=C1)OCC",1.47E+00
"CCCCCCCCCCCC(=O)N",
"N1=CC=C(C(=O)C)C=C1",1.39E+00
"C1=CC(Cl)=CC=C1C(=O)OC",6.40E-02
"CCCCOC1=CC=CC=C1",3.80E-02
"C1=CC(C#N)=CC=C1C(=O)OC",2.90E-01
"OC1=C(O)C(Cl)=C(Cl)C(Cl)=C1Cl",5.12E-03
"C1=C(C(=O)CBr)C(OC)=CC=C1OC",2.55E-03
"CCCC[Sn](CCCC)(CCCC)CCCC",1.30E-04
"C#CC(C)(O)C(C)C",1.83E+00
"C1=CC=C2C3=CC=CC=C3N(C2=C1)C=C",1.66E-05
"C1=C(N)C=CC=C1OCC2=CC=CC=C2",4.59E-02
"O=C(NC)OC1=CC=CC(C2)=C1OC2(C)C",3.81E-03
"CC(OC)(C)C",7.62E+00
"C=CCCCCCCC=C",2.10E-03
"C1=CC(O)=CC=C1/N=N/C2=CC=CC=C2",6.00E-03
"C1=C(I)C(O)=C(I)C=C1C#N",1.83E-02
"C1=C(Br)C(O)=C(Br)C=C1C#N",4.55E-02
"O=[C@](O)[C@@]3(C)[C@@]2([H])[C@@](CCC3)(C)C1=C(CC2)C=[C@@]([C@@H](C)C)C=C1",6.99E-03
"C=CCC1=CC=CC=C1O",1.12E-01
"C1(C=O)=C(O)C=CC(Br)=C1",6.46E-03
"C=C(CCl)C(Cl)",1.52E-03
"C1=C(Cl)C(O)=C(Cl)C=C1C#N",1.29E-01
"CCCCOC(=O)C1=CC=C(C(=O)OCCCC)C=C1",2.12E-03
"C1=CC(O)=CC=C1OC2=CC=C(O)C=C2",2.86E-02
"C1(Cl)=CC=CC(Cl)=C1C(=O)N",2.47E+00
"CCCCCCCCCCN",6.55E-03
"CNC(=O)OC1=CC(C)=C(N(C)C)C=C1",9.36E-03
"N1=C(Br)NC(Br)=C1Br",2.01E-02
"CCOP(=S)(OC1=CC=C(C=C1)[N+](=O)[O-])C2=CC=CC=C2",2.43E-04
"OC(C)CC#C",4.17E-01
"OC1=C(O)C=C(Cl)C=C1",1.09E-02
"C1(O)=CC(O)=CC=C1C(=O)OC",2.72E-01
"C=CC(=O)OCCCCCCCCCCCC",
"N1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl",1.87E-03
"C1[C@H](C[C@H]([C@@H](C1)C(C)C)O)C",1.21E-01
"C1=CN=CN1S(=O)(=O)C2=CC=C(C)C=C2",1.88E-01
"C1=C(C(=O)C)C(Cl)=CC(Cl)=C1",6.89E-02
"CCCCCCCCC#N",3.77E-02
"NC1=CC(C(F)(F)F)=C(F)C=C1",1.68E-01
"[C@H]1(CCCC[C@H]1O)C2=CC=CC=C2",2.52E-01
"C=C(C)C(=O)OCCOCC",1.75E-01
"OC1=C(C)C(C)=CC=C1C",6.02E-02
"CCCCCCCCCCCC#N",2.37E-03
"C1(OC)=CC=CC=C1C(=O)N",7.94E-01
"C1(Cl)=CC(Cl)=CC=C1C(=O)N",5.03E-01
"C=C(C)C(=O)OCC1OCCC1",2.04E-01
"OC1=C(OC)C=C(Cl)C(Cl)=C1",2.32E-02
"C=C(C)C(=O)OCC1=CC=CC=C1",2.65E-02
"C=CC(=O)OCCCCCC",7.10E-03
"CC(C)(C)C1=CC=C(OC(=O)NC)C=C1",4.82E-02
"N1=C(CCN)C=CC=C1",
"C1=CC=CC=C1CN2CCNCC2",2.69E-01
"N1=CC=CC(=C1)CCCO",1.09E+00
"CCCCCCCCCCCCCN",3.28E-04
"C1=CC=CC(N)=C1C(=O)C2=CC=C(Cl)C=C2",9.15E-03
"C1(Cl)=CC=C(Cl)C=C1C(=O)OC",6.83E-02
"S=P(OC1=NC(=C(C=C1Cl)Cl)Cl)(OCC)OCC",9.07E-04
"C1(OC)=CC(C=O)=CC(Br)=C1O",2.58E-01
"C=CC(=O)OC1CCCCC1",9.60E-03
"S(C1=CC=C(Cl)C=C1)(=O)C2=CC=C(Cl)C=C2",
"CCOC(=O)N(C(=O)OCC)C(=O)OCC",5.70E-02
"OC1=C(O)C=C(Cl)C(Cl)=C1",4.97E-03
"NC1=C(Cl)C(Cl)=CC(Cl)=C1Cl",1.17E-03
"N1=C(C2=CC=CC=C2)C=CC=C1C3=CC=CC=C3",9.08E-04
"ClC1=CC(Cl)=C([N+]([O-])=O)C=C1[N+]([O-])=O",1.92E-04
"C1(Cl)=CC(Cl)=C(Cl)C=C1SSC2=C(Cl)C=C(Cl)C(Cl)=C2",
"C1=C(C)C(C)=CC=C1OP(=O)(OC2=CC(C)=C(C)C=C2)OC3=CC(C)=C(C)C=C3",
"CCC(C)C(C)C=O",1.40E-01
"C(O)C#CCCCCCCC",6.94E-03
"N1=C(O)C=CC(Cl)=C1",8.80E+00
"CC(C)SSC(C)C",5.53E-02
"C1(C=O)=C(OC)C=C(OC)C(OC)=C1",2.52E-01
"C=C(C)C(=O)OC(C)C",2.96E-01
"C=CC(O)CCC",3.04E-01
"OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1",1.77E-03
"C1=CN=CC=C1CCC2=CC=NC=C2",8.20E-01
"C1C(=O)N(CC)C(=S)N(CC)C1=O",2.25E+01
"COC(=O)C1=CC=C(C(=O)OC)C=C1[N+]([O-])=O",2.73E-02
"C1=CC(Cl)=CC2N=C(S)SC1=2",1.59E-02
"COC(=O)C1=CC=C(C(=O)OC)C=C1N",4.27E-02
"CCSCCSCC",4.01E-01
"CN(CCCCl)C.[H]Cl",8.41E-01
"C1=C(C(=O)C)C=C([N+]([O-])=O)C(Cl)=C1",2.76E-02
"CC1=CC(Cl)=NC(N)=N1",9.82E-01
"CC1=C(OC)C=CC=C1OC",1.33E-01
"N1=C(N(C)C)C=CC=C1",1.04E+00
"CC(C)(C)CN",5.45E+00
"O=[C@](O)[C@@]3(C)[C@@]1([H])[C@@](CCC3)(C)[C@]2([H])C(C[C@](C=C)(C)CC2)=CC1",2.88E-03
"C1(N)=CC=C(Cl)C=C1C#N",1.87E-01
"ClC(Cl)(C(C)(O)C)Cl.ClC(Cl)(C(C)(O)C)Cl.[H]O[H]",3.62E-01
"CCCCCCCCCCC(=O)C",6.40E-03
"C1=C(/C=C/C=O)C=CC(N(C)C)=C1",3.67E-02
"C(C(=O)O)[N+]1(=CC=CC=C1).[Cl-]",9.33E-01
"ClC1=C([N+]([O-])=O)C(Cl)=C([N+]([O-])=O)C(Cl)=C1",8.18E-04
"ClC1=CC=C([N+](=O)[O-])C=C1C=O",2.09E-02
"N#CC1=C(Cl)C=CC=C1C",9.96E-02
"N1=C(Br)C(O)=CC=C1",2.70E+00
"N1=C(Cl)C(O)=CC=C1",4.80E+00
"C#CCN(CC#C)CC#C",2.26E+00
"CCOC(OCC)CN(C)CC(OCC)OCC",2.41E+00
"NCCCN1CCN(CCCN)CC1",1.55E+01
"OC(CC/C=C(C)/CC/C=C(C)\C)(C)C=C",6.43E-03
"ClCCN1CCCC1.[H]Cl",9.00E-01
"CCCCCCCCCCCN",1.23E-03
"C#CC(O)CCCC",1.57E-02
"C1(C=O)=CC=C(OCC)C=C1",1.87E-01
"O=C(C(C(C1C2)(C)C)(C2)C)C1Br",2.96E-01
"CC(C)=CC1C(C)(C)C1C(=O)OCC2=COC(CC3=CC=CC=C3)=C2",1.82E-05
"CCOP(=S)(OCC)SCSC(C)(C)C",4.61E-05
"BrC(Br)C1=C(C(Br)Br)C=CC=C1",1.04E-03
"C1=C(C(=O)C)C(Cl)=C(Cl)C(Cl)=C1",8.95E-03
"C1(OC)=C(OC)C(OC)=CC=C1C(=O)C",9.47E-01
"CCOC(=O)C(Cl)C(=O)OCC",4.88E-03
"CCNCC1=CC=CC=C1",4.22E-01
"ClC1=CC=CC=[N+]1C.[I-]",7.79E-01
"C1=CC(Br)=CC=C1C(=O)C2=CC=CN=C2",7.78E-02
"C1=CC=CC=C1C(=O)C2=CC=NC=C2",5.62E-01
"CC1(C)CCC(C)(C)O1",1.31E+00
"N1=C([N+]([O-])=O)C(O)=CC=C1",1.19E+00
"C1(CC)=CC=CC(CC)=C1N(COC)C(=O)CCl",1.85E-02
"NC1=CC=C(CCCCCCCC)C=C1",5.84E-04
"CSC(C)=NOC(=O)NC",1.30E-02
"N1=C(O)C=CC=C1Cl",1.65E+00
"NC1=NN=C(C)C(C)=N1",7.67E+00
"C1=CC([N+]([O-])=O)=CC([N+](=O)[O-])=C1OC2=CC=C(Br)C=C2",
"O=CC1=CC=C(N(CC)CC)C=C1O",2.77E-02
"N1=C(C)C=CC=C1Cl",1.82E+00
"C#CC(CCC(C)C)(C)O",3.49E-01
"CC1=C(C)OC(C)=N1",4.04E+00
"CC(=O)C(C)CN(C)C",6.58E-02
"C1=CC([N+](=O)[O-])=CC=C1OC2=CC(C)=C(Cl)C=C2",
"C1=CC=C(Br)C=C1C(=O)N",4.63E-01
"O=C(C(=NOC(=O)NC)SC)N(C)C",3.09E-02
"NC1=C(C(C)C)C=CC=C1C(C)C",8.63E-02
"[Na+].[N-]=[N+]=[N-]",8.40E-02
"C[N+](C1=CC=CC=C1)(C)C.[O-]S(=O)(=O)OC",1.00E+00
"ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=C(Cl)Cl)Cl",
"CC(C)(O)C(F)(C(F)F)F",3.64E+00
"CCC(N)C",3.76E+00
"COCCCNCC1=CC(OC)=C(OC)C(OC)=C1",5.05E-01
"BrCC1OCCCC1",1.15E+00
"NC1=CC=C(CCCCCCCCCC)C=C1",2.66E-04
"NC1=CC=C(OCCCCCC)C=C1",1.56E-02
"C1([N+](=O)[O-])=CC(Cl)=CC=C1C(=O)OC",1.28E-01
"C1(C=O)=C([N+](=O)[O-])C=CC(O)=C1",2.51E-01
"O=C(C(C1=CC=C(C=C1)Cl)C(C)C)OC(C2=CC=CC(=C2)OC3=CC=CC=C3)C#N",1.21E-05
"C1=CC=C(OC2=CC=CC=C2)C=C1COC(=O)C3C(C)(C)C3C=C(Cl)Cl",4.09E-05
"CCSCCCCSCC",3.40E-02
"CCCCCCCCOC1=CC=CC=C1NC(=O)C",1.71E-03
"C1=CC(C(C)(C)C)=CC=C1C(=O)N",1.80E-01
"CSCCCCCCSC",5.66E-02
"CC(O)C#C",1.67E-01
"C1(C)=C(C)C=CC=C1OP(=O)(OC2=C(C)C(C)=CC=C2)OC3=C(C)C(C)=CC=C3",
"C1C(=CC=C[N+]=1CC2C=CC=CC=2)S(=O)(=O)[O-]",9.67E+00
"C1=CC(C(C)(C)C)=CC=C1OC2=CC=CC(C=O)=C2",1.45E-03
"O=C(OC(C2=CC=CC(OC3=CC=CC=C3)=C2)C#N)[C@H](C1=CC=C(OC(F)F)C=C1)[C@H](C)C",4.21E-07
"ClC1=CC=CC(Cl)=C1OP(=O)(OC2=C(Cl)C=CC=C2Cl)OC3=C(Cl)C=CC=C3Cl",
"C1=C(C=O)C=CC=C1OC2=CC(Cl)=C(Cl)C=C2",1.12E-03
"[Na+].O.O.[O-]C1=C([N+]([O-])=O)C=C([N+]([O-])=O)C2=CC=CC=C12",1.45E-02
"CC(C)(C)C1=CC=C(C=C)C=C1",3.06E-03
"O=P(OCC)(SCCSCC)OCC",6.19E-02
"ClCC1=CC(C=C)=CC=C1",2.03E-03
