"STRUCTURE_Parent_SMILES ","STRUCTURE_InChI ","ActivityOutcome_CPDBAS_MultiCellCall ","STRUCTURE_Shown ","TestSubstance_ChemicalName ","ActivityScore_CPDBAS_Rat ","TD50_Hamster_mg mg","TD50_Rat_mmol mmol","ActivityOutcome_CPDBAS_SingleCellCall ","TD50_Rat_Note ","STRUCTURE_MolecularWeight ","TD50_Dog_mg mg","TargetSites_Mouse_BothSexes ","DSSTox_CID ","STRUCTURE_ChemicalName_IUPAC ","NTP_TechnicalReport ","TD50_Cynomolgus_mg mg","ActivityOutcome_CPDBAS_Rat ","ActivityOutcome_CPDBAS_Mutagenicity ","ActivityScore_CPDBAS_Mouse ","STRUCTURE_InChIKey ","ChemicalNote ","ActivityOutcome_CPDBAS_MultiCellCall_Details ","TestSubstance_CASRN ","DSSTox_RID ","TargetSites_Mouse_Male ","TD50_Dog_Primates_Note ","STRUCTURE_Formula ","TD50_Rat_mg mg","TestSubstance_Description ","ActivityScore_CPDBAS_Hamster ","Endpoint ","TargetSites_Cynomolgus ","STRUCTURE_TestedForm_DefinedOrganic ","StudyType ","Note_CPDBAS ","TargetSites_Rhesus ","DSSTox_FileID ","TD50_Mouse_mmol mmol","ActivityOutcome_CPDBAS_Dog_Primates ","ChemicalPage_URL ","TD50_Mouse_Note ","ActivityOutcome_CPDBAS_Hamster ","TD50_Mouse_mg mg","STRUCTURE_ChemicalType ","TargetSites_Rat_Male ","TargetSites_Hamster_Female ","TargetSites_Dog ","TargetSites_Mouse_Female ","TargetSites_Hamster_BothSexes ","STRUCTURE_SMILES ","ActivityOutcome_CPDBAS_Mouse ","TargetSites_Rat_BothSexes ","TargetSites_Hamster_Male ","TD50_Hamster_mmol mmol","TD50_Hamster_Note ","Species ","TargetSites_Rat_Female ","DSSTox_Generic_SID ","TD50_Rhesus_mg mg"
"NC1C=CC2=C(N=1)NC3=CC=CC=C23","InChI=1/C11H9N3/c12-10-6-5-8-7-3-1-2-4-9(7)13-11(8)14-10/h1-6H,(H3,12,13,14)/f/h13H,12H2","active","tested chemical","A-alpha-C",blank,blank,blank,"active","blank",183.2122039794922,blank,"blank",1.0,"9H-pyrido[2,3-b]indol-2-amine","blank",blank,"blank","active",35.0,"FJTNLJLPLJDTRM-DXMPFREMCP","blank","multisite active; multisex active","26148-68-5",20001.0,"liver; vascular system","blank","C11H9N3",blank,"single chemical compound",blank,"TD50; Tumor Target Sites","blank","parent","Carcinogenicity","blank","blank","1_CPDBAS_v5d",0.2720000147819519,"blank","http://potency.berkeley.edu/chempages/A-alpha-C.html","TD50 is harmonic mean of more than one positive test","blank",49.79999923706055,"defined organic","blank","blank","blank","liver; vascular system","blank","NC1C=CC2=C(N=1)NC3=CC=CC=C23","active","blank","blank",blank,"blank","mouse","blank",20001.0,blank
"O=S(NC1=O)(OC(C)=C1)=O","InChI=1/C4H5NO4S.K/c1-3-2-4(6)5-10(7,8)9-3;/h2H,1H3,(H,5,6);/q;+1/p-1/fC4H4NO4S.K/q-1;m","inactive","tested chemical","Acesulfame-K",,,,"inactive","",201.24220275878906,,"",10606.0,"potassium 6-methyl-4-oxo-4H-1,2,3-oxathiazin-3-ide 2,2-dioxide","",,"","",0.0,"WBZFUFAFFUEMEI-COHKJUPYCC","parent [33665-90-6]","multisex inactive","55589-62-3",40770.0,"no positive results","","C4H4KNO4S",,"single chemical compound",,"TD50; Tumor Target Sites","","salt K","Carcinogenicity","Mouse added v5a; chemical added v5a","","2_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACESULFAME-K.html","no positive results","",,"defined organic","","","","no positive results","","O=S([N-]C1=O)(OC(C)=C1)=O.[K+]","inactive","","",,"","mouse","",30606.0,
"CC=O","InChI=1/C2H4O/c1-2-3/h2H,1H3","active","tested chemical","Acetaldehyde",20.0,565.0,3.4700000286102295,"active","TD50 is harmonic mean of more than one positive test",44.0526008605957,,"",2.0,"acetaldehyde","",,"active","inactive",,"IKHGUXGNUITLKF-UHFFFAOYAB","","multisite active; multisex active; multispecies active","75-07-0",20002.0,"","","C2H4O",153.0,"single chemical compound",1.0,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","3_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACETALDEHYDE.html","","active",,"defined organic","nasal cavity","oral cavity","","","","CC=O","","","nasal cavity; oral cavity",12.800000190734863,"TD50 is harmonic mean of more than one positive test","rat; hamster","nasal cavity",39224.0,
"CC=NN(C)C=O","InChI=1/C4H8N2O/c1-3-5-6(2)4-7/h3-4H,1-2H3/b5-3+","active","tested chemical","Acetaldehyde methylformylhydrazone",,,,"active","",100.12000274658203,,"",3.0,"N'-[(1E)-ethylidene]-N-methylformic hydrazide","",,"","inactive",46.0,"IMAGWKUTFZRWSB-HWKANZROBR","","multisite active; multisex active","16568-02-8",20003.0,"lung; preputial gland","","C4H8N2O",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","4_CPDBAS_v5d",0.025100000202655792,"","http://potency.berkeley.edu/chempages/ACETALDEHYDE%20METHYLFORMYLHYDRAZONE.html","TD50 is harmonic mean of more than one positive test","",2.509999990463257,"defined organic","","","","clitoral gland; lung; stomach","","CC=NN(C)C=O","active","","",,"","mouse","",39225.0,
"CC=NO","InChI=1/C2H5NO/c1-2-3-4/h2,4H,1H3/b3-2+","","tested chemical","Acetaldoxime",0.0,,,"inactive","no positive results",59.06719970703125,,"",4.0,"(1E)-acetaldehyde oxime","",,"inactive","inactive",,"FZENGILVLUJGJX-NSCUHMNNBP","","","107-29-9",20004.0,"","","C2H5NO",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","5_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACETALDOXIME.html","","",,"defined organic","no positive results","","","","","CC=NO","","","",,"","rat","",20004.0,
"CC(=O)N","InChI=1/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)/f/h3H2","active","tested chemical","Acetamide",21.0,,3.049999952316284,"active","TD50 is harmonic mean of more than one positive test",59.06719970703125,,"",5.0,"acetamide","",,"active","inactive",9.0,"DLFVBJFMPXGRIB-ZZOWFUDICC","","multisite active; multisex active; multispecies active","60-35-5",20005.0,"hematopoietic system","","C2H5NO",180.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","6_CPDBAS_v5d",51.0,"","http://potency.berkeley.edu/chempages/ACETAMIDE.html","","",3010.0,"defined organic","liver","","","no positive results","","CC(=O)N","active","","",,"","rat; mouse","liver",20005.0,
"C1(=CC=C(C=C1)O)NC(C)=O","InChI=1/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)/f/h9H","active","tested chemical","Acetaminophen",20.0,,3.2699999809265137,"active","TD50 is harmonic mean of more than one positive test",151.16259765625,,"",6.0,"N-(4-hydroxyphenyl)acetamide","TR 394; final call in CPDB differs due to additional data",,"active","inactive",17.0,"RZVAJINKPMORJF-BGGKNDAXCW","","multisite active; multisex active; multispecies active","103-90-2",20006.0,"liver","","C8H9NO2",495.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","7_CPDBAS_v5d",10.699999809265137,"","http://potency.berkeley.edu/chempages/ACETAMINOPHEN.html","TD50 is harmonic mean of more than one positive test","",1620.0,"defined organic","liver; urinary bladder","","","liver","","C1(=CC=C(C=C1)O)NC(C)=O","active","","",,"","rat; mouse","liver; urinary bladder",20006.0,
"O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2","InChI=1/C15H20N2O4S/c1-11(18)12-7-9-14(10-8-12)22(20,21)17-15(19)16-13-5-3-2-4-6-13/h7-10,13H,2-6H2,1H3,(H2,16,17,19)/f/h16-17H","inactive","tested chemical","Acetohexamide",0.0,,,"inactive","no positive results",324.3952941894531,,"",7.0,"4-acetyl-N-[(cyclohexylamino)carbonyl]benzenesulfonamide","TR 050",,"inactive","inactive",0.0,"VGZSUPCWNCWDAN-XQMQJMAZCC","","multisex inactive; multispecies inactive","968-81-0",20007.0,"no positive results","","C15H20N2O4S",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","8_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACETOHEXAMIDE.html","no positive results","",,"defined organic","no positive results","","","no positive results","","O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2","inactive","","",,"","rat; mouse","no positive results",20007.0,
"C(/C)(C)=N\NC1=NC=C(S1)C2=CC=C(O2)[N+](=O)[O-]","InChI=1/C10H10N4O3S/c1-6(2)12-13-10-11-5-8(18-10)7-3-4-9(17-7)14(15)16/h3-5H,1-2H3,(H,11,13)/f/h13H","","tested chemical","Acetone[4-(5-nitro-2-furyl)-2-thiazolyl] hydrazone",43.0,,0.022700000554323196,"active","",266.27398681640625,,"",8.0,"propan-2-one [5-(5-nitrofuran-2-yl)-1,3-thiazol-2-yl]hydrazone","",,"active","",,"CUWVNOSSZYUJAE-NDKGDYFDCK","","","18523-69-8",20008.0,"","","C10H10N4O3S",6.050000190734863,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","9_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACETONE[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]HYDRAZONE.html","","",,"defined organic","","","","","","C(/C)(C)=N\NC1=NC=C(S1)C2=CC=C(O2)[N+](=O)[O-]","","","",,"","rat","stomach",20008.0,
"CC#N","InChI=1/C2H3N/c1-2-3/h1H3","inactive","tested chemical","Acetonitrile ",0.0,,,"inactive","no positive results",41.05189895629883,,"",9.0,"acetonitrile","TR 447",,"inactive","inactive",0.0,"WEVYAHXRMPXWCK-UHFFFAOYAJ","","multisex inactive; multispecies inactive","75-05-8",20009.0,"no positive results","","C2H3N",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","10_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACETONITRILE.html","no positive results","",,"defined organic","no positive results","","","no positive results","","CC#N","inactive","","",,"","rat; mouse","no positive results",20009.0,
"CC(=NO)C","InChI=1/C3H7NO/c1-3(2)4-5/h5H,1-2H3","","tested chemical","Acetoxime",34.0,,0.16599999368190765,"active","",73.09380340576172,,"",10.0,"propan-2-one oxime","",,"active","",,"PXAJQJMDEXJWFB-UHFFFAOYAK","","","127-06-0",20010.0,"","","C3H7NO",12.100000381469727,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","11_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACETOXIME.html","","",,"defined organic","liver","","","","","CC(=NO)C","","","",,"","rat","no positive results",20010.0,
"O=C(C)OC(C2=CC1=C(C=C2)OCO1)C=C","InChI=1/C12H12O4/c1-3-10(16-8(2)13)9-4-5-11-12(6-9)15-7-14-11/h3-6,10H,1,7H2,2H3","","tested chemical","1'-Acetoxysafrole",35.0,,0.11400000005960464,"active","TD50 is harmonic mean of more than one positive test",220.22129821777344,,"",11.0,"1-(1,3-benzodioxol-5-yl)prop-2-en-1-yl acetate","",,"active","active",0.0,"TXUCQVJZBXYDKH-UHFFFAOYAY","","","34627-78-6",20011.0,"no positive results","","C12H12O4",25.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","12_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/1'-ACETOXYSAFROLE.html","no positive results","",,"defined organic","stomach","","","","","O=C(C)OC(C2=CC1=C(C=C2)OCO1)C=C","inactive","","",,"","rat; mouse","",39226.0,
"N(NC(C)=O)C1=CC=C(C=C1)CO","InChI=1/C9H12N2O2/c1-7(13)10-11-9-4-2-8(6-12)3-5-9/h2-5,11-12H,6H2,1H3,(H,10,13)/f/h10H","active","tested chemical","N'-Acetyl-4-(hydroxymethyl) phenylhydrazine",,,,"active","",180.20599365234375,,"",12.0,"N'-[4-(hydroxymethyl)phenyl]acetohydrazide","",,"","",27.0,"UFFJUAYKLIGSJF-KZFATGLACR","","multisite active; multisex active","65734-38-5",20012.0,"lung; vascular system","","C9H12N2O2",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","13_CPDBAS_v5d",1.340000033378601,"","http://potency.berkeley.edu/chempages/N'-ACETYL-4-(HYDROXYMETHYL)PHENYLHYDRAZINE.html","TD50 is harmonic mean of more than one positive test","",241.0,"defined organic","","","","lung; vascular system","","N(NC(C)=O)C1=CC=C(C=C1)CO","active","","",,"","mouse","",20012.0,
"N(NC(C)=O)C(C1=CC=NC=C1)=O","InChI=1/C8H9N3O2/c1-6(12)10-11-8(13)7-2-4-9-5-3-7/h2-5H,1H3,(H,10,12)(H,11,13)/f/h10-11H","active","tested chemical","1-Acetyl-2-isonicotinoylhydrazine",,,,"active","",179.17799377441406,,"",13.0,"N'-acetylpyridine-4-carbohydrazide","",,"","",25.0,"CVBGNAKQQUWBQV-PZWAIHAUCF","","multisex active","1078-38-2",20013.0,"lung","","C8H9N3O2",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","14_CPDBAS_v5d",1.840000033378601,"","http://potency.berkeley.edu/chempages/1-ACETYL-2-ISONICOTINOYLHYDRAZINE.html","TD50 is harmonic mean of more than one positive test","",330.0,"defined organic","","","","lung","","N(NC(C)=O)C(C1=CC=NC=C1)=O","active","","",,"","mouse","",20013.0,
"O=C1C(C(=O)OC(=C1)C)C(=O)C","InChI=1/C8H8O4/c1-4-3-6(10)7(5(2)9)8(11)12-4/h3,7H,1-2H3","inactive","tested chemical","3-Acetyl-6-methyl-2,4-pyrandione",,,,"inactive","",168.1488037109375,,"",14.0,"3-acetyl-6-methyl-2H-pyran-2,4(3H)-dione","",,"","",0.0,"PGRHXDWITVMQBC-UHFFFAOYAH","tautomers","multisex inactive","520-45-6",20014.0,"no positive results","","C8H8O4",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","15_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/3-ACETYL-6-METHYL-2,4-PYRANDIONE.html","no positive results","",,"defined organic","","","","no positive results","","O=C1C(C(=O)OC(=C1)C)C(=O)C","inactive","","",,"","mouse","",20014.0,
"C1(NNC(C)=O)=CC=CC=C1","InChI=1/C8H10N2O/c1-7(11)9-10-8-5-3-2-4-6-8/h2-6,10H,1H3,(H,9,11)/f/h9H","active","tested chemical","1-Acetyl-2-phenylhydrazine",,,,"active","",150.17779541015625,,"",15.0,"N'-phenylacetohydrazide","",,"","active",34.0,"UICBCXONCUFSOI-BGGKNDAXCP","","multisex active","114-83-0",20015.0,"vascular system","","C8H10N2O",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","16_CPDBAS_v5d",0.3409999907016754,"","http://potency.berkeley.edu/chempages/1-ACETYL-2-PHENYLHYDRAZINE.html","TD50 is harmonic mean of more than one positive test","",51.20000076293945,"defined organic","","","","vascular system","","C1(NNC(C)=O)=CC=CC=C1","active","","",,"","mouse","",20015.0,
"CC(=O)NC1=CC=C(C=C1)C2=CC=CC=C2","InChI=1/C14H13NO/c1-11(16)15-14-9-7-13(8-10-14)12-5-3-2-4-6-12/h2-10H,1H3,(H,15,16)/f/h15H","","tested chemical","4-Acetylaminobiphenyl",49.0,,0.00559999980032444,"active","",211.26280212402344,,"",16.0,"N-biphenyl-4-ylacetamide","",,"active","",,"SVLDILRDQOVJED-YAQRNVERCM","","","4075-79-0",20016.0,"","","C14H13NO",1.1799999475479126,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","17_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/4-ACETYLAMINOBIPHENYL.html","","",,"defined organic","","","","","","CC(=O)NC1=CC=C(C=C1)C2=CC=CC=C2","","","",,"","rat","mammary gland",39243.0,
"CC(=O)NC1=C2CC3=CC=CC=C3C2=CC=C1","InChI=1/C15H13NO/c1-10(17)16-15-8-4-7-13-12-6-3-2-5-11(12)9-14(13)15/h2-8H,9H2,1H3,(H,16,17)/f/h16H","","tested chemical","1-Acetylaminofluorene",0.0,,,"inactive","no positive results",223.2738037109375,,"",17.0,"N-9H-fluoren-1-ylacetamide","",,"inactive","",,"POECHIXSIXBYKI-WYUMXYHSCQ","","","28314-03-6",20017.0,"","","C15H13NO",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","18_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/1-ACETYLAMINOFLUORENE.html","","",,"defined organic","","","","","","CC(=O)NC1=C2CC3=CC=CC=C3C2=CC=C1","","","",,"","rat","no positive results",20017.0,
"C12C3=C(C=CC=C3)CC1=CC(=CC=2)NC(C)=O","InChI=1/C15H13NO/c1-10(17)16-13-6-7-15-12(9-13)8-11-4-2-3-5-14(11)15/h2-7,9H,8H2,1H3,(H,16,17)/f/h16H","active","tested chemical","2-Acetylaminofluorene",49.0,17.399999618530273,0.005499999970197678,"active","TD50 is harmonic mean of more than one positive test",223.26980590820312,,"",18.0,"N-9H-fluoren-2-ylacetamide","",,"active","active",45.0,"CZIHNRWJTSTCEX-WYUMXYHSCF","","multisite active; multisex active; multispecies active","53-96-3",20018.0,"liver; urinary bladder","no positive results for Rhesus","C15H13NO",1.2200000286102295,"single chemical compound",53.0,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","no positive results","19_CPDBAS_v5d",0.03400000184774399,"inactive","http://potency.berkeley.edu/chempages/2-ACETYLAMINOFLUORENE.html","TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results","active",7.590000152587891,"defined organic","liver; mammary gland; skin","no positive results","","liver; urinary bladder","","C12C3=C(C=CC=C3)CC1=CC(=CC=2)NC(C)=O","active","","liver",0.0778999999165535,"","rat; mouse; hamster; rhesus","liver; mammary gland; skin",39227.0,
"C12C3=C(C=CC=C3)CC1=CC=CC=2NC(C)=O","InChI=1/C15H13NO/c1-10(17)16-14-8-4-6-12-9-11-5-2-3-7-13(11)15(12)14/h2-8H,9H2,1H3,(H,16,17)/f/h16H","","tested chemical","4-Acetylaminofluorene",0.0,,,"inactive","no positive results",223.26980590820312,,"",19.0,"N-9H-fluoren-4-ylacetamide","",,"inactive","active",,"PHPWISAFHNEMSR-WYUMXYHSCU","","","28322-02-3",20019.0,"","","C15H13NO",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","20_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/4-ACETYLAMINOFLUORENE.html","","",,"defined organic","","","","","","C12C3=C(C=CC=C3)CC1=CC=CC=2NC(C)=O","","","",,"","rat","no positive results",20019.0,
"O=C(O)Cc1ccc(cc1)NC(C)=O","InChI=1/C10H11NO3/c1-7(12)11-9-4-2-8(3-5-9)6-10(13)14/h2-5H,6H2,1H3,(H,11,12)(H,13,14)/f/h11,13H","inactive","tested chemical","4-Acetylaminophenylacetic acid",0.0,,,"inactive","no positive results",193.19920349121094,,"",20.0,"[4-(acetylamino)phenyl]acetic acid","",,"inactive","",0.0,"MROJXXOCABQVEF-KZZMUEETCP","","multisex inactive; multispecies inactive","18699-02-0",20020.0,"no positive results","","C10H11NO3",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","Rat added v2a; Mouse added v2a","","21_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/4-ACETYLAMINOPHENYLACETIC%20ACID.html","no positive results","",,"defined organic","no positive results","","","no positive results","","O=C(O)Cc1ccc(cc1)NC(C)=O","inactive","","",,"","rat; mouse","no positive results",20020.0,
"CC(=O)N[C@@H](CS)C(=O)O","InChI=1/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)/t4-/m0/s1/f/h6,8H","","tested chemical","N-acetylcysteine",0.0,,,"inactive","no positive results",163.1949005126953,,"",21.0,"N-acetyl-L-cysteine","",,"inactive","",,"PWKSKIMOESPYIA-JVBVHTJODB","stereochem","","616-91-1",20021.0,"","","C5H9NO3S",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","Rat added v2a","","22_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/N-ACETYLCYSTEINE.html","","",,"defined organic","no positive results","","","","","CC(=O)N[C@@H](CS)C(=O)O","","","",,"","rat","",20021.0,
"OC(=O)C1=C(C=CC(=C1)OC2=CC=C(C=C2Cl)C(F)(F)F)[N+](=O)[O-]","InChI=1/C14H7ClF3NO5/c15-10-5-7(14(16,17)18)1-4-12(10)24-8-2-3-11(19(22)23)9(6-8)13(20)21/h1-6H,(H,20,21)/f/h20H","active","tested chemical","Acifluorfen",,,,"active","",361.65728759765625,,"",22.0,"5-{[2-chloro-4-(trifluoromethyl)phenyl]oxy}-2-nitrobenzoic acid","",,"","",33.0,"NUFNQYOELLVIPL-UYBDAZJACV","","multisite active; multisex active","50594-66-6",20022.0,"liver; stomach","","C14H7ClF3NO5",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","23_CPDBAS_v5d",0.38999998569488525,"","http://potency.berkeley.edu/chempages/ACIFLUORFEN.html","TD50 is harmonic mean of more than one positive test","",141.0,"defined organic","","","","liver; stomach","","OC(=O)C1=C(C=CC(=C1)OC2=CC=C(C=C2Cl)C(F)(F)F)[N+](=O)[O-]","active","","",,"","mouse","",20022.0,
"C=CC=O","InChI=1/C3H4O/c1-2-3-4/h2-3H,1H2","inactive","tested chemical","Acrolein ",0.0,,,"inactive","no positive results",56.06330108642578,,"",23.0,"acrylaldehyde","",,"inactive","active",0.0,"HGINCPLSRVDWNT-UHFFFAOYAQ","","multisex inactive; multispecies inactive","107-02-8",20023.0,"no positive results","","C3H4O",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","24_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACROLEIN.html","no positive results","",,"defined organic","no positive results","","","no positive results","","C=CC=O","inactive","","",,"","rat; mouse","no positive results",20023.0,
"C=CC(OCC)OCC","InChI=1/C7H14O2/c1-4-7(8-5-2)9-6-3/h4,7H,1,5-6H2,2-3H3","inactive","tested chemical","Acrolein diethylacetal",0.0,,,"inactive","no positive results",130.1864013671875,,"",24.0,"3,3-bis(ethyloxy)prop-1-ene","",,"inactive","",,"MCIPQLOKVXSHTD-UHFFFAOYAI","","multisex inactive","3054-95-3",20024.0,"","","C7H14O2",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","25_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACROLEIN%20DIETHYLACETAL.html","","",,"defined organic","no positive results","","","","","C=CC(OCC)OCC","","","",,"","rat","no positive results",20024.0,
"C=C/C=N/O","InChI=1/C3H5NO/c1-2-3-4-5/h2-3,5H,1H2/b4-3+","inactive","tested chemical","Acrolein oxime",0.0,,,"inactive","no positive results",71.07859802246094,,"",25.0,"(1E)-prop-2-enal oxime","",,"inactive","",,"KMNIXISXZFPRDC-ONEGZZNKBI","","multisex inactive","5314-33-0",20025.0,"","","C3H5NO",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","26_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACROLEIN%20OXIME.html","","",,"defined organic","no positive results","","","","","C=C/C=N/O","","","",,"","rat","no positive results",20025.0,
