"STRUCTURE_Parent_SMILES ","STRUCTURE_InChI ","ActivityOutcome_CPDBAS_MultiCellCall ","STRUCTURE_Shown ","TestSubstance_ChemicalName ","ActivityScore_CPDBAS_Rat ","TD50_Hamster_mg mg","TD50_Rat_mmol mmol","ActivityOutcome_CPDBAS_SingleCellCall ","TD50_Rat_Note ","STRUCTURE_MolecularWeight ","TD50_Dog_mg mg","TargetSites_Mouse_BothSexes ","DSSTox_CID ","STRUCTURE_ChemicalName_IUPAC ","NTP_TechnicalReport ","TD50_Cynomolgus_mg mg","ActivityOutcome_CPDBAS_Rat ","ActivityOutcome_CPDBAS_Mutagenicity ","ActivityScore_CPDBAS_Mouse ","STRUCTURE_InChIKey ","ChemicalNote ","ActivityOutcome_CPDBAS_MultiCellCall_Details ","TestSubstance_CASRN ","DSSTox_RID ","TargetSites_Mouse_Male ","TD50_Dog_Primates_Note ","STRUCTURE_Formula ","TD50_Rat_mg mg","TestSubstance_Description ","ActivityScore_CPDBAS_Hamster ","Endpoint ","TargetSites_Cynomolgus ","STRUCTURE_TestedForm_DefinedOrganic ","StudyType ","Note_CPDBAS ","TargetSites_Rhesus ","DSSTox_FileID ","TD50_Mouse_mmol mmol","ActivityOutcome_CPDBAS_Dog_Primates ","ChemicalPage_URL ","TD50_Mouse_Note ","ActivityOutcome_CPDBAS_Hamster ","TD50_Mouse_mg mg","STRUCTURE_ChemicalType ","TargetSites_Rat_Male ","TargetSites_Hamster_Female ","TargetSites_Dog ","TargetSites_Mouse_Female ","TargetSites_Hamster_BothSexes ","STRUCTURE_SMILES ","ActivityOutcome_CPDBAS_Mouse ","TargetSites_Rat_BothSexes ","TargetSites_Hamster_Male ","TD50_Hamster_mmol mmol","TD50_Hamster_Note ","Species ","TargetSites_Rat_Female ","DSSTox_Generic_SID ","TD50_Rhesus_mg mg"
"CN1C2=C(C(OC)=CC3=C2C=CC(O3)(C)C)C(C4=C1C=CC=C4)=O","InChI=1/C20H19NO3/c1-20(2)10-9-13-15(24-20)11-16(23-4)17-18(13)21(3)14-8-6-5-7-12(14)19(17)22/h5-11H,1-4H3","active","tested chemical","Acronycine",55.0,,0.0015999999595806003,"active","positive test results only by intraperitoneal or intravenous injection; TD50 is harmonic mean of more than one positive test",321.36981201171875,,"",26.0,"3,3,12-trimethyl-6-(methyloxy)-3,12-dihydro-7H-pyrano[2,3-c]acridin-7-one","TR 49",,"active","",0.0,"SMPZPKRDRQOOHT-UHFFFAOYAD","","multisite active; multisex active","7008-42-6",20026.0,"NTP bioassay inadequate","","C20H19NO3",0.5049999952316284,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","ActivityOutcome_CPDBAS_Mouse modified v5d","","27_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACRONYCINE.html","only experiment is NCI NTP bioassay inadequate","",,"defined organic","bone; peritoneal cavity","","","NTP bioassay inadequate","","CN1C2=C(C(OC)=CC3=C2C=CC(O3)(C)C)C(C4=C1C=CC=C4)=O","unspecified","","",,"","rat; mouse","mammary gland; peritoneal cavity",20026.0,
"NC(=O)C=C","InChI=1/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)/f/h4H2","active","tested chemical","Acrylamide ",39.0,,0.052799999713897705,"active","TD50 is harmonic mean of more than one positive test",71.0779037475586,,"",27.0,"acrylamide","",,"active","inactive",,"HRPVXLWXLXDGHG-LGEMBHMGCJ","","multisite active; multisex active","79-06-1",20027.0,"","","C3H5NO",3.75,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","TD50_Rat modified v3a","","28_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACRYLAMIDE.html","","",,"defined organic","nervous system; peritoneal cavity; thyroid gland","","","","","NC(=O)C=C","","","",,"","rat","clitoral gland; mammary gland; nervous system; oral cavity; thyroid gland; uterus",20027.0,
"OC(=O)C=C","InChI=1/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)/f/h4H","inactive","tested chemical","Acrylic acid",0.0,,,"inactive","no positive results",72.06269836425781,,"",28.0,"acrylic acid","",,"inactive","inactive",,"NIXOWILDQLNWCW-JLSKMEETCA","","multisex inactive","79-10-7",20028.0,"","","C3H4O2",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","29_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACRYLIC%20ACID.html","","",,"defined organic","no positive results","","","","","OC(=O)C=C","","","",,"","rat","no positive results",39229.0,
"C=CC#N","InChI=1/C3H3N/c1-2-3-4/h2H,1H2","active","tested chemical","Acrylonitrile ",31.0,,0.3179999887943268,"active","TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results",53.062599182128906,,"",29.0,"acrylonitrile","",,"active","active",39.0,"NLHHRLWOUZZQLW-UHFFFAOYAG","","multisite active; multisex active","107-13-1",20029.0,"harderian gland; stomach","","C3H3N",16.899999618530273,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","Mouse added v5a","","30_CPDBAS_v5d",0.11900000274181366,"","http://potency.berkeley.edu/chempages/ACRYLONITRILE.html","TD50 is harmonic mean of more than one positive test","",6.320000171661377,"defined organic","ear Zymbals gland; nervous system; oral cavity; small intestine; stomach","","","harderian gland; stomach","","C=CC#N","active","","",,"","rat; mouse","ear Zymbals gland; mammary gland; nasal cavity; nervous system; oral cavity; small intestine; stomach",20029.0,
"O=C(N[C@@H]([C@H](OC([C@@H]5[C@@H](C)C)=O)C)C(N[C@H]([C@@H](C)CC)C(N4CCC[C@@](C(N(C)CC(N5C)=O)=O)4[H])=O)=O)C(C(C(OC2=C(C)C=C3)=C(C)C1=O)=NC2=C3C(N[C@@H]([C@H](OC([C@@H]7[C@H](C)C)=O)C)C(N[C@H](C(C)C)C(N6CCC[C@@](C(N(C)CC(N7C)=O)=O)6[H])=O)=O)=O)=C1N","InChI=1/C63H88N12O16/c1-17-31(8)44-61(86)75-25-19-21-38(75)59(84)71(14)27-40(77)73(16)50(30(6)7)63(88)90-35(12)46(57(82)67-44)69-55(80)41-42(64)51(78)33(10)53-48(41)65-47-36(23-22-32(9)52(47)91-53)54(79)68-45-34(11)89-62(87)49(29(4)5)72(15)39(76)26-70(13)58(83)37-20-18-24-74(37)60(85)43(28(2)3)66-56(45)81/h22-23,28-31,34-35,37-38,43-46,49-50H,17-21,24-27,64H2,1-16H3,(H,66,81)(H,67,82)(H,68,79)(H,69,80)/t31-,34+,35+,37-,38-,43+,44+,45-,46-,49-,50-/m0/s1/f/h66-69H","","representative component in mixture","Actinomycin C",0.0,,,"inactive","no positive results",1269.443603515625,,"",30.0,"2-amino-4,6-dimethyl-3-oxo-N~9~-[(6S,9R,10S,13R,18aS)-2,5,9-trimethyl-6,13-bis(1-methylethyl)-1,4,7,11,14-pentaoxohexadecahydro-1H-pyrrolo[2,1-i][1,4,7,10,13]oxatetraazacyclohexadecin-10-yl]-N~1~-{(6S,9R,10S,13R,18aS)-2,5,9-trimethyl-6-(1-methylethyl)","",,"inactive","",,"QCXJFISCRQIYID-IFORFJDKDU","mixture of actinomycin C1 [50-76-0] (10%), actinomycin C2 [2612-14-8] (45%), and actinomycin C3 [6156-47-4] (45%), structure shown C2, stereochem","","8052-16-2",20030.0,"","","C63H88N12O16",,"mixture or formulation",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","31_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACTINOMYCIN%20C.html","","",,"defined organic","no positive results","","","","","O=C(N[C@@H]([C@H](OC([C@@H]5[C@@H](C)C)=O)C)C(N[C@H]([C@@H](C)CC)C(N4CCC[C@@](C(N(C)CC(N5C)=O)=O)4[H])=O)=O)C(C(C(OC2=C(C)C=C3)=C(C)C1=O)=NC2=C3C(N[C@@H]([C@H](OC([C@@H]7[C@H](C)C)=O)C)C(N[C@H](C(C)C)C(N6CCC[C@@](C(N(C)CC(N7C)=O)=O)6[H])=O)=O)=O)=C1N","","","",,"","rat","",20030.0,
"C12C(OC3=C(N=1)C(=CC=C3C)C(N[C@@H]4C(N[C@@H](C(N5[C@@H](CCC5)C(N(CC(N([C@H](C(O[C@H]4C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)=C(C(C(=C2C(N[C@@H]6C(N[C@@H](C(N7[C@@H](CCC7)C(N(CC(N([C@H](C(O[C@H]6C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)N)=O)C","InChI=1/C62H86N12O16/c1-27(2)42-59(84)73-23-17-19-36(73)57(82)69(13)25-38(75)71(15)48(29(5)6)61(86)88-33(11)44(55(80)65-42)67-53(78)35-22-21-31(9)51-46(35)64-47-40(41(63)50(77)32(10)52(47)90-51)54(79)68-45-34(12)89-62(87)49(30(7)8)72(16)39(76)26-70(14)58(83)37-20-18-24-74(37)60(85)43(28(3)4)66-56(45)81/h21-22,27-30,33-34,36-37,42-45,48-49H,17-20,23-26,63H2,1-16H3,(H,65,80)(H,66,81)(H,67,78)(H,68,79)/t33-,34-,36+,37+,42-,43-,44+,45+,48+,49+/m1/s1/f/h65-68H","active","tested chemical","Actinomycin D",88.0,,0.0,"active","positive test results only by intraperitoneal or intravenous injection; TD50 is harmonic mean of more than one positive test",1255.4169921875,,"",31.0,"2-amino-4,6-dimethyl-3-oxo-N,N'-bis[(6S,9R,10S,13R,18aS)-2,5,9-trimethyl-6,13-bis(1-methylethyl)-1,4,7,11,14-pentaoxohexadecahydro-1H-pyrrolo[2,1-i][1,4,7,10,13]oxatetraazacyclohexadecin-10-yl]-3H-phenoxazine-1,9-dicarboxamide","",,"active","inactive",,"RJURFGZVJUQBHK-HQANWYOLDQ","stereochem","multisex active","50-76-0",20031.0,"","","C62H86N12O16",0.0010999999940395355,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","TD50_Rat_Note modified v5a","","32_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ACTINOMYCIN%20D.html","","",,"defined organic","peritoneal cavity","","","","","C12C(OC3=C(N=1)C(=CC=C3C)C(N[C@@H]4C(N[C@@H](C(N5[C@@H](CCC5)C(N(CC(N([C@H](C(O[C@H]4C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)=C(C(C(=C2C(N[C@@H]6C(N[C@@H](C(N7[C@@H](CCC7)C(N(CC(N([C@H](C(O[C@H]6C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)N)=O)C","","","",,"","rat","peritoneal cavity",20031.0,
"NC(=O)CCCCC(=O)N","InChI=1/C6H12N2O2/c7-5(9)3-1-2-4-6(8)10/h1-4H2,(H2,7,9)(H2,8,10)/f/h7-8H2","inactive","tested chemical","Adipamide",0.0,,,"inactive","no positive results",144.1717071533203,,"",32.0,"hexanediamide","",,"inactive","inactive",0.0,"GVNWZKBFMFUVNX-UNXFWZPKCL","","multisex inactive; multispecies inactive","628-94-4",20032.0,"no positive results","","C6H12N2O2",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","33_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ADIPAMIDE.html","no positive results","",,"defined organic","no positive results","","","no positive results","","NC(=O)CCCCC(=O)N","inactive","","",,"","rat; mouse","no positive results",20032.0,
"O=C(N)\C(C2=CC=CO2)=C/C1=CC=C([N+]([O-])=O)O1","InChI=1/C11H8N2O5/c12-11(14)8(9-2-1-5-17-9)6-7-3-4-10(18-7)13(15)16/h1-6H,(H2,12,14)/b8-6-/f/h12H2","active","tested chemical","AF-2",35.0,164.0,0.11800000071525574,"active","TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results",248.1916046142578,,"",33.0,"(2Z)-2-(furan-2-yl)-3-(5-nitrofuran-2-yl)prop-2-enamide","",,"active","active",31.0,"LYAHJFZLDZDIOH-SDXKRDFODJ","stereochem","multisite active; multisex active; multispecies active","3688-53-7",20033.0,"stomach","","C11H8N2O5",29.399999618530273,"single chemical compound",30.0,"TD50; Tumor Target Sites","","parent","Carcinogenicity","structure modified v5b","","34_CPDBAS_v5d",0.527999997138977,"","http://potency.berkeley.edu/chempages/AF-2.html","TD50 is harmonic mean of more than one positive test; greater than ten-fold variation among TD50 values for positive results","active",131.0,"defined organic","mammary gland","stomach","","stomach","","O=C(N)\C(C2=CC=CO2)=C/C1=CC=C([N+]([O-])=O)O1","active","","esophagus; stomach",0.6610000133514404,"TD50 is harmonic mean of more than one positive test","rat; mouse; hamster","mammary gland",20033.0,
"O=C(O2)C([C@@H](CC3)O)=C3C1=C2C4=C(O[C@@]5([H])[C@]([H])4C=CO5)C=C1OC","InChI=1/C17H14O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8-9,17-18H,2-3H2,1H3/t8-,9+,17-/m0/s1","","tested chemical","Aflatoxicol",78.0,,0.0,"active","",314.29400634765625,,"",34.0,"(1R,6aS,9aS)-1-hydroxy-4-(methyloxy)-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromen-11(1H)-one","",,"active","active",,"WYIWLDSPNDMZIT-BTKFHORUBM","stereochem","","29611-03-8",20034.0,"","","C17H14O6",0.0024999999441206455,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","35_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/AFLATOXICOL.html","","",,"defined organic","liver","","","","","O=C(O2)C([C@@H](CC3)O)=C3C1=C2C4=C(O[C@@]5([H])[C@]([H])4C=CO5)C=C1OC","","","",,"","rat","",20034.0,
"C12=C3C(C4=C(C(O3)=O)C(=O)CC4)=C(C=C1OC5C2C=CO5)OC","InChI=1/C17H12O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8,17H,2-3H2,1H3","active","tested chemical","Aflatoxin B1",77.0,,0.0,"active","TD50 is harmonic mean of more than one positive test; harmonic mean of TD50 includes a value for upper 99% confidence limit from study with 100% tumor incidence but no lifetable; greater than ten-fold variation among TD50 values for positive results",312.2735900878906,,"",35.0,"4-(methyloxy)-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromene-1,11-dione","",0.020099999383091927,"active","active",0.0,"OQIQSTLJSLGHID-UHFFFAOYAB","","multisite active; multisex active; multispecies active","1162-65-8",20035.0,"no positive results","Tree Shrew (TD50=0.0269; Target Sites=liver)","C17H12O6",0.0031999999191612005,"single chemical compound",,"TD50; Tumor Target Sites","gall bladder; liver; vascular system","parent","Carcinogenicity","TD50_Rat_Note modified v5a","gall bladder; liver; vascular system","36_CPDBAS_v5d",,"active","http://potency.berkeley.edu/chempages/AFLATOXIN%20B1.html","no positive results","",,"defined organic","kidney; large intestine; liver","","","no positive results","","C12=C3C(C4=C(C(O3)=O)C(=O)CC4)=C(C=C1OC5C2C=CO5)OC","inactive","","",,"","rat; mouse; rhesus; cynomolgus; tree shrew","large intestine; liver",20035.0,0.008200000040233135
"O=C1C(C(OCC5)=O)=C5C(C(OC)=C4)=C(C2=C4OC3C2C=CO3)O1","InChI=1/C17H12O7/c1-20-9-6-10-12(8-3-5-22-17(8)23-10)14-11(9)7-2-4-21-15(18)13(7)16(19)24-14/h3,5-6,8,17H,2,4H2,1H3","active","representative component in mixture","Aflatoxin, crude",50.0,,,"active","TD50 is harmonic mean of more than one positive test; TD50_Rat_mmol was not calculated for this mixture, but Activiity Score is assigned value of "50" to indicate active",328.27301025390625,,"",36.0,"5-(methyloxy)-3,4,7a,10a-tetrahydro-1H,12H-furo[3',2':4,5]furo[2,3-h]pyrano[3,4-c]chromene-1,12-dione","",,"active","",50.0,"XWIYFDMXXLINPU-UHFFFAOYAD","mixture of aflatoxins, structure shown G1 [1165-39-5]","multisite active; multispecies active","1402-68-2",20036.0,"hematopoietic system","","C17H12O7",0.003000000026077032,"mixture or formulation",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","TD50_Rat_mmol and TD50_Mouse_mmol conversions from mg values not provided due substance being a mixture","","37_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/AFLATOXIN,%20CRUDE.html","","",0.34299999475479126,"defined organic","liver","","","","","O=C1C(C(OCC5)=O)=C5C(C(OC)=C4)=C(C2=C4OC3C2C=CO3)O1","active","","",,"","rat; mouse","",20036.0,
"","InChI=1//","inactive","no structure","Agar",0.0,,,"inactive","no positive results",,,"",,"","TR 230",,"inactive","",0.0,"MOSFIJXAXDLOML-UHFFFAOYAM","","multisex inactive; multispecies inactive","9002-18-0",20037.0,"no positive results","","",,"mixture or formulation",,"TD50; Tumor Target Sites","","","Carcinogenicity","","","38_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/AGAR.html","no positive results","",,"no structure","no positive results","","","no positive results","","","inactive","","",,"","rat; mouse","no positive results",20037.0,
"C1(OCC=C)=CC=C(CC(=O)O)C=C1Cl","InChI=1/C11H11ClO3/c1-2-5-15-10-4-3-8(6-9(10)12)7-11(13)14/h2-4,6H,1,5,7H2,(H,13,14)/f/h13H","inactive","tested chemical","Alclofenac",0.0,,,"inactive","no positive results",226.6562042236328,,"",38.0,"[3-chloro-4-(prop-2-en-1-yloxy)phenyl]acetic acid","",,"inactive","",,"ARHWPKZXBHOEEE-NDKGDYFDCL","","multisex inactive","22131-79-9",20038.0,"","","C11H11ClO3",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","Rat added v2a","","39_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ALCLOFENAC.html","","",,"defined organic","no positive results","","","","","C1(OCC=C)=CC=C(CC(=O)O)C=C1Cl","","","",,"","rat","no positive results",20038.0,
"CC(C=NOC(=O)NC)(SC)C","InChI=1/C7H14N2O2S/c1-7(2,12-4)5-9-11-6(10)8-3/h5H,1-4H3,(H,8,10)/b9-5+/f/h8H","inactive","tested chemical","Aldicarb",0.0,,,"inactive","no positive results",190.2633056640625,,"",39.0,"(1E)-2-methyl-2-(methylthio)propanal O-[(methylamino)carbonyl]oxime","TR 136",,"inactive","inactive",0.0,"QGLZXHRNAYXIBU-RVKZGWQMDN","","multisex inactive; multispecies inactive","116-06-3",20039.0,"no positive results","","C7H14N2O2S",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","40_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ALDICARB.html","no positive results","",,"defined organic","no positive results","","","no positive results","","CC(C=NOC(=O)NC)(SC)C","inactive","","",,"","rat; mouse","no positive results",39223.0,
"ClC(C(Cl)(Cl)C43Cl)(C(Cl)=C4Cl)C1C3C2C=CC1C2","InChI=1/C12H8Cl6/c13-8-9(14)11(16)7-5-2-1-4(3-5)6(7)10(8,15)12(11,17)18/h1-2,4-7H,3H2","","tested chemical","Aldrin",0.0,,,"active","no positive results",364.909912109375,,"liver",40.0,"1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene","TR 21; final call in CPDB differs due to additional data",,"inactive","inactive",56.0,"QBYJBZPUGVGKQQ-UHFFFAOYAT","stereochem","","309-00-2",20040.0,"liver","","C12H8Cl6",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","41_CPDBAS_v5d",0.0035000001080334187,"","http://potency.berkeley.edu/chempages/ALDRIN.html","TD50 is harmonic mean of more than one positive test","",1.2699999809265137,"defined organic","no positive results","","","","","ClC(C(Cl)(Cl)C43Cl)(C(Cl)=C4Cl)C1C3C2C=CC1C2","active","","",,"","rat; mouse","no positive results",20040.0,
"O=S(C1=CC=C(C(C)CCCCCCCCCC)C=C1)(O)=O","InChI=1/C18H30O3S.Na/c1-3-4-5-6-7-8-9-10-11-16(2)17-12-14-18(15-13-17)22(19,20)21;/h12-16H,3-11H2,1-2H3,(H,19,20,21);/q;+1/p-1/fC18H29O3S.Na/q-1;m","inactive","representative isomer in mixture","Alkylbenzenesulfonate, linear",0.0,,,"inactive","no positive results",348.4757995605469,,"",41.0,"sodium 4-(dodecan-2-yl)benzenesulfonate","",,"inactive","",,"GHRHULTYHYEOQB-MFZBKVKLCJ","mixture of C10-13 alkylbenzenesulfonates average 11.6; with phenyl attachment varying in apprpx equal amounts between C-2,3,4,5 or 6; structure shown C12 attached at C2","multisex inactive","42615-29-2",20041.0,"","","C18H29NaO3S",,"mixture or formulation",,"TD50; Tumor Target Sites","","salt Na","Carcinogenicity","structure modified v5b","","42_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ALKYLBENZENESULFONATE,%20LINEAR.html","","",,"defined organic","no positive results","","","","","O=S(C1=CC=C(C(C)CCCCCCCCCC)C=C1)([O-])=O.[Na+]","","","",,"","rat","no positive results",20041.0,
"[O-][N+](C)(C)CCCCCCCCCC","InChI=1/C12H27NO/c1-4-5-6-7-8-9-10-11-12-13(2,3)14/h4-12H2,1-3H3","inactive","representative isomer in mixture","Alkyldimethylamine oxides, commercial grade",0.0,,,"inactive","no positive results",201.34890747070312,,"",42.0,"decyl(dimethyl)amine oxide","",,"inactive","",,"ZRKZFNZPJKEWPC-UHFFFAOYAU","mixture, C10-16 [70592-80-2], C12-18 [68955-55-5], C12-16 [68439-70-3], C14-18 [68390-99-8], structure shown C-12","multisex inactive","NOCAS",20042.0,"","","C12H27NO",,"mixture or formulation",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","43_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ALKYLDIMETHYLAMINE%20OXIDES,%20COMMERCIAL%20GRADE.html","","",,"defined organic","no positive results","","","","","[O-][N+](C)(C)CCCCCCCCCC","","","",,"","rat","no positive results",20042.0,
"O=C1C(NC(=O)N1)NC(=O)N","InChI=1/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)/f/h6-8H,5H2","inactive","tested chemical","Allantoin",0.0,,,"inactive","no positive results",158.11639404296875,,"",43.0,"1-(2,5-dioxoimidazolidin-4-yl)urea","",,"inactive","",,"POJWUDADGALRAB-BANUENCFCI","","multisex inactive","97-59-6",20043.0,"","","C4H6N4O3",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","44_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ALLANTOIN.html","","",,"defined organic","no positive results","","","","","O=C1C(NC(=O)N1)NC(=O)N","","","",,"","rat","no positive results",20043.0,
"C=CCO","InChI=1/C3H6O/c1-2-3-4/h2,4H,1,3H2","inactive","tested chemical","Allyl alcohol",0.0,,,"inactive","no positive results",58.0791015625,,"",44.0,"prop-2-en-1-ol","",,"inactive","inactive",,"XXROGKLTLUQVRX-UHFFFAOYAC","","multisex inactive","107-18-6",20044.0,"","","C3H6O",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","Mutagenicity_SAL_CPDB added v3a","","45_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ALLYL%20ALCOHOL.html","","",,"defined organic","no positive results","","","","","C=CCO","","","",,"","rat","no positive results",20044.0,
"C=CCCl","InChI=1/C3H5Cl/c1-2-3-4/h2H,1,3H2","inactive","tested chemical","Allyl chloride",0.0,,,"inactive","only experiment is NCI NTP bioassay inadequate",76.5248031616211,,"",45.0,"3-chloroprop-1-ene","TR 73",,"unspecified","active",0.0,"OSDWBNJEKMUWAV-UHFFFAOYAQ","","multisex inactive","107-05-1",20045.0,"no positive results","","C3H5Cl",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","ActivityOutcome_CPDBAS_Mouse modified v5d","","46_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ALLYL%20CHLORIDE.html","no positive results","",,"defined organic","NTP bioassay inadequate","","","no positive results","","C=CCCl","inactive","","",,"","rat; mouse","NTP bioassay inadequate",39231.0,
"C=CCOCC1CO1","InChI=1/C6H10O2/c1-2-3-7-4-6-5-8-6/h2,6H,1,3-5H2","","tested chemical","Allyl glycidyl ether",0.0,,,"active","no positive results",114.14240264892578,,"",46.0,"2-[(allyloxy)methyl]oxirane","TR 376",,"inactive","active",26.0,"LSWYGACWGAICNM-UHFFFAOYAR","","","106-92-3",20046.0,"nasal cavity","","C6H10O2",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","47_CPDBAS_v5d",1.590000033378601,"","http://potency.berkeley.edu/chempages/ALLYL%20GLYCIDYL%20ETHER.html","","",182.0,"defined organic","no positive results","","","no positive results","","C=CCOCC1CO1","active","","",,"","rat; mouse","no positive results",39232.0,
"C=CCN=C=S","InChI=1/C4H5NS/c1-2-3-5-4-6/h2H,1,3H2","","tested chemical","Allyl isothiocyanate",26.0,,0.9679999947547913,"active","",99.1541976928711,,"",47.0,"3-isothiocyanatoprop-1-ene","TR 234",,"active","active",0.0,"ZOJBYZNEUISWFT-UHFFFAOYAS","","","57-06-7",20047.0,"no positive results","","C4H5NS",96.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","48_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/ALLYL%20ISOTHIOCYANATE.html","no positive results","",,"defined organic","urinary bladder","","","no positive results","","C=CCN=C=S","inactive","","",,"","rat; mouse","no positive results",20047.0,
